Month,Category2,Sentence
200501,movie/play/tv,"virginia mayo, the stunning blond actress who brought beauty and romance to films of the 1940s and 1950s with such co-stars as james cagney, bob hope, gregory peck, danny kaye and ronald reagan, died monday at a nursing home in suburban thousand oaks."
200501,movie/play/tv,"los angeles (ap) -- virginia mayo, the stunning blond actress who brought beauty and romance to films of the 1940s and 1950s with such co-stars as james cagney, bob hope, gregory peck, danny kaye and ronald reagan, died monday at a nursing home in suburban thousand oaks."
200501,pageant/fashion show/model,"pero also stages beauty events at the salon, such as last fall's evening with star makeup artist tina earnshaw, and a more recent sushi-and-wine party to help local artist ankara eden launch her almarine line, which includes the honey scrub i'm getting totally stuck on as well as a deliciously rich clay-and-seaweed mask."
200501,other,"picture 20 green-faced partiers noshing nori, and you have the ultimate face of backstreet beauty."
200501,movie/play/tv,"underdog swank won the golden globe and oscar for boys don't cry over bening, who had been considered the favourite for american beauty."
200501,movie/play/tv,"underdog swank won the golden globe and oscar for boys don't cry over bening, who had been considered the favourite for american beauty."
200501,other,"it's a role that challenges the soprano voice from top to bottom: in one act it must toss off flurries of light, ornamental singing; in another, it must perform with a sharper, more penetrating focus; in other places, it must find the pure, elongated beauty of tone for which lyric sopranos are prized."
200501,movie/play/tv,"full text: the peel heritage complex, in partnership with the toronto international film festival, presents stage beauty, a look at gender differences and the ambiguity of sexuality in the years of the english restoration, starring claire danes and billy crudup."
200501,pageant/fashion show/model,the pageant has more goals than rewarding young women for beauty and intelligence.
200501,product/service,"""aging boomers don't want to look old,"" says beauty maven eveline charles, owner of eveline charles spas in western canada."
200501,movie/play/tv,"queen latifah spins off her barbershop character into her own film, beauty shop, on march 30."
200502,movie/play/tv,sleeping beauty is popping pills!
200502,other,the form-fitting gown that cut into a sharp v just above swank's bottom was both an architectural marvel and a thing of beauty.
200502,product/service,"the scramble for unique hair is also one that cosmetics companies have been actively fuelling for the past few months, as they have loaded up beauty editors' desks with almost daily shipments of new hair products."
200502,other,"the heart- breaking beauty of delphi, where i first fell in love; the sensual sunsets of santorini; the mysterious ruins of mykenes -- they are all still there, and just as seductive as they were two decades ago."
200502,magazine/book,"the decision reverses a 2002 ruling by the swiss federal institute of intellectual property, which prevented yeslam binladin from using the name as a protected trademark on his perfumes or beauty products."
200502,product/service,"full text: terry bartzen focuses on beauty at her new business, boutique beyouteful."
200502,real beauty,full text: it is refreshing to see real people being used in beauty commercials.
200502,real beauty,but aren't companies that create and sell beauty products to help women and men improve their looks just adding to self-esteem issues?.
200502,other,"three glorious goddesses, radiating the light of wisdom, the glow of power, the sheen of beauty, stood before him."
200502,other,david earle has contributed three photographic pieces of atmospheric intensity and beauty.
200502,other,"even surrounded by the glorious himalayas, the beauty is found in the banal."
200502,other,"""at last a trip to africa -- the wild animals, the beauty of south africa,"" she wrote."
200502,other,"shaukat's wife is antara (played by aishwarya rai), a shy professor of fashion photography whose beauty catches the eye of yash (zayed khan), a professor of photography after much more than a mere photograph of antara."
200502,product/service,"the karin herzog line includes choco2 chocolate beauty cream, $70/ 50 ml, finest chocolate cleansing cream $38/50 ml, and chocolate delicious comfort cream $55/50 ml."
200502,other,"i don't mean to imply that the rest of us are members of the slug family, but you and i know that some folks are blessed with the beauty and physique of the gods and goddesses of old, while others look like a bag of smelts."
200502,physical beauty,"as much as we would all like to look like brad or jennifer, there is a downside to such beauty - especially when there is only one bathroom mirror in the one-bedroom shack the pitts call home."
200503,movie/play/tv,miss congeniality 2: armed and fabulous is like most beauty pageants -- shallow yet oddly entertaining.
200503,movie/play/tv,full text: 'beauty shop'.
200503,other,"""perfect,"" says her majesty, luxuriating in the well-appointed upholstery of what will become a major theme, if not the raison d'etre, of beauty shop."
200503,movie/play/tv,that's about it for the main drama in beauty shop.
200503,movie/play/tv,"the waiting room three women separated by centuries and continents question the price of beauty in lisa loomer's drama, a collaboration between ruby slippers theatre and studio 58."
200503,movie/play/tv,"beauty shop tells the story of gina (queen latifah), a sassy hairstylist who quits the shop run by the imperious jorge (kevin bacon), an austrian with a dubious accent, long blond hair, and an irritating, teutonic misogyny."
200503,movie/play/tv,maybe that's what goes on in a beauty shop.
200503,movie/play/tv,"beauty shop tells the story of gina (queen latifah), a sassy hairstylist - sass being the latifah speciality - who quits the shop run by the imperious jorge (kevin bacon), an austrian with a dubious accent, long blond hair, and an irritating, teutonic misogyny."
200503,movie/play/tv,beauty shop is a film of low-cal vulgarity.
200503,other,"""perfect,"" says her majesty, luxuriating in the well-appointed upholstery of what will become a major theme, if not the raison d'etre, of beauty shop."
200503,real beauty,"""it's about a woman's inner beauty, her confidence, her passion and her sensuality."
200503,other,"""perfect,"" says her majesty, luxuriating in the well-appointed upholstery of what will become a major theme, if not the raison d'etre, of beauty shop."
200503,other,"butts, booty, heinies: it's a world of bums out there, and beauty shop, which you would think might be concerned with the other end of the human body, is right down there, digging it."
200503,movie/play/tv,maybe that's what goes on in a beauty shop.
200503,real beauty,"""it's about a woman's inner beauty, her confidence, her passion and her sensuality."
200503,movie/play/tv,the beauty shop that gina runs in the movie is very much like the ones latifah knew growing up in new jersey.
200503,movie/play/tv,"illustration colour courtesy, mgm / queen latifah as gina norris gives mena suvari (playing an atlanta socialite) a new look in beauty shop, produced by latifah."
200503,physical beauty,"struck by the delicate beauty of his former playmate, howard asked her on their first date: a visit to a pathology lab to look at slides of ovarian tumours."
200503,movie/play/tv,"before filming on last year's barbershop 2 had even started, the studio had launched its plan for beauty shop."
200503,movie/play/tv,illustration colour gina (queen latifah) gives shaggy-haired jorge (kevin bacon) a piece of her mind in the comedy beauty shop.
200503,movie/play/tv,"but then her old pageant pals -- beauty queen heather burns and pageant emcee william shatner -- are kidnapped, and gracie is determined to rescue them."
200503,product/service,"by now, merrilee has about $800 worth of botox and close to $2,000 worth of three different fillers (restylane, perlane and fineline) in her face, and she is even more beautiful than when she started out -- if beauty is measured in a megawatt smile and carefree brow."
200503,other,"it's sleeping beauty, once again at her spinning wheel, and the pricked finger that initiates the awful sleep of limbo."
200503,pageant/fashion show/model,full text: beauty contest sets off muslim debate.
200503,physical beauty,"in the limited times i have come into contact with her -- at city hall during her time as an alderman, in her various reincarnations on public boards, at a couple of private parties -- i was all too aware of myself being all too aware of her beauty."
200503,product/service,"while scientists worldwide are only studying stem cells, dozens of russian clinics and beauty salons claim they are already using both adult and embryonic stem cells to treat everything from wrinkles to parkinson's disease to impotence."
200503,product/service,"meanwhile, hundreds of patients are rushing to russian clinics and beauty salons that claim to offer embryonic stem cell therapy for a range of diseases as well as cosmetic therapy."
200503,product/service,"she says her condition has improved after a new series of injections, said to contain adult stem cells, at beauty plaza, a private clinic in moscow that advertises stem cell treatment for a variety of diseases."
200503,product/service,"meanwhile, hundreds of patients are rushing to russian clinics and beauty salons that claim to offer embryonic stem cell therapy for a range of diseases as well as cosmetic therapy."
200503,product/service,"while scientists worldwide are only studying stem cells, dozens of russian clinics and beauty salons claim they are already using both adult and embryonic stem cells to treat everything from wrinkles to parkinson's disease to impotence."
200503,product/service,"she says her condition has improved after a new series of injections, said to contain adult stem cells, at beauty plaza, a private clinic in moscow that advertises stem cell treatment for a variety of diseases."
200503,other,"breathtaking in its beauty, stunningly photographed, harrowing and emotionally involving, everest is the perfect match for the gigantic film format."
200503,product/service,longtime beauty businesswoman randi shinder and seasoned fashion writer melissa shabinsky have teamed up to produce a lip gloss meant to give those of us without the lip lusciousness of angelina jolie a little extra endowment.
200504,magazine/book,"former makeup artist paula begoun is a syndicated beauty columnist and the author of don't go to the cosmetics counter without me, the beauty bible and don't go shopping for hair-care products without me."
200504,movie/play/tv,miss congeniality 2 is the tread-water sequel to the 2000 hit that got by on concept -- sandy snorting her way through a beauty pageant as an undercover fbi contestant.
200504,other,"""the beauty industry is taking advantage of our good name in order to get on the bandwagon,"" says janine gibson, president of the canadian organic growers."
200504,product/service,their products were top-ranked for health and safety in all categories of the environmental working group's survey of beauty products.
200504,other,"""the beauty of natural products,"" she adds, ""is that they have been ingested for millennia."""
200504,product/service,"other neighbourhoods are also good yorkville has some good resources, including luxurious beauty shops where you can pick up exorbitantly priced perfumes or products otherwise sold only in europe."
200504,movie/play/tv,"we have experienced the beauty of children dancing, singing, performing musical instruments, youth have been involved in plays, interacting with others."
200504,other,"this will give guests an opportunity to network in the beauty of the rbg's celebrated botanical surroundings, and meet many varied business owners in a relaxed and fun filled atmosphere."
200504,other,"beauty contests aside, what likely will attract the public are the agility demonstrations, training sessions and competitions overseen by bone."
200504,movie/play/tv,"after becoming famous for going undercover at a beauty pageant in the earlier movie, fbi agent gracie hart (sandra bullock) can't work undercover anymore, so is made ""the face of the bureau,"" and given as a bodyguard a tough agent (regina king) with martial arts skills."
200504,product/service,"the cost is $15 a person, redeemable toward a $50 purchase of beauty products during the evening."
200504,product/service,"bobbi brown; at 47, bobbi brown looks more like a hip, affluent mom than a woman who revolutionized the beauty industry.; brown was the first to introduce yellow-based foundations.; brown's new mini products for spring reflect her penchant for a neutral palette."
200504,other,"beauty contests aside, what likely will attract the public are the agility demonstrations, training sessions and competitions overseen by bone."
200504,movie/play/tv,*** beauty shop: queen latifah trades chicago for atlanta and looks after the sisterhood as she opens her own establishment in this sequel to barbershop filled with cutting remarks and comic high jinks.
200504,movie/play/tv,miss congeniality 2 is the tread-water sequel to the 2000 hit that got by on concept -- sandy snorting her way through a beauty pageant as an undercover fbi contestant.
200504,movie/play/tv,"beauty shop (14a, fairview, niagara square) beauty shop proves nearly as entertaining and audience-friendly as a female-focused spinoff of the barber shop films (barbershop and barbershop 2: back in business, 2002 and 2004)."
200504,other,"come for the beauty, stay for the booty."
200504,product/service,"to gauge interest levels, the may 18 beauty fete will only be held at the vancouver and toronto (bloor street) stores."
200504,movie/play/tv,"in the film, the larger-than-life diva leaves the upscale salon for a beauty shop in the inner city that eventually pulls her favourite downtown clients."
200504,movie/play/tv,miss congeniality 2 is the tread-water sequel to the 2000 hit that got by on concept -- sandy snorting her way through a beauty pageant as an undercover fbi contestant.
200504,movie/play/tv,"""you think these pants make my butt look big?"" asks queen latifah in the opening sequence of beauty shop."
200504,other,"""perfect,"" says her majesty, luxuriating in the well-appointed upholstery of what will become a major theme, if not the raison d'etre, of beauty shop."
200504,movie/play/tv,"full text: hair apparent: beauty shop styles a story for everyone, and that's what the singer and producer want."
200504,product/service,"""the beauty shop was our spot just like the barber shop was the spot for guys."
200504,product/service,"""the beauty shop was our spot just like the barber shop was the spot for guys."
200504,other,"come for the beauty, stay for the booty."
200504,product/service,"to gauge interest levels, the may 18 beauty fete will only be held at the vancouver and toronto (bloor street) stores."
200504,product/service,"the cost is $15 a person, redeemable toward a $50 purchase of beauty products during the evening."
200504,product/service,"although males under 30 are more apt to shop for beauty and grooming products, corlett notes that getting them to do it before a single female audience could be tricky."
200504,product/service,"canwest news service / holt renfrew is hosting mixture, a beauty night for men and women at its vancouver and toronto stores."
200504,movie/play/tv,illustration colour queen latifah and kevin bacon in beauty shop.; colour lewis mcgibbon and daisy donovan in millions.; colour ewan mcgregor and robin williams are robots.
200505,pageant/fashion show/model,"""the girls i have met are more into materialistic things,"" ms vautour said as she prepared to take part in the miss downhome pageant, a lighthearted poke at traditional beauty contests that required contestants to wear fishing gear and put worms on hooks."
200505,movie/play/tv,"the wb's beauty and the geek is an ashton kutcher-produced series that won't, as previously thought, feature katie holmes and twitterpated boyfriend tom cruise."
200505,other,"good disco-dancing facilities, multiple bars, skeet shooting, beauty salon, helicopter pad, the works."
200505,other,quesnel has hidden beauty that can be discovered daily and i can't wait to come back and begin exploring.
200505,other,"lorraine hjalte, calgary herald / saundra shapiro is owner of compassionate beauty."
200505,other,"the excitement was evident in rehearsal, hearing the piping voices as a handful of cast members demonstrate a song from the score, with a new lyric by tusnady: ""the music of mozart has this to say - truth and beauty are here to stay."""
200505,physical beauty,"for advertisers, body ads are a chance to directly link their brand name with youth, beauty and sex appeal."
200505,other,my last bike is a beauty.
200505,other,my last bike is a beauty.
200505,other,it survived a devastating fire in 2001 and has been restored to its original beauty.
200505,other,my last bike is a beauty.
200505,other,my last bike is a beauty.
200505,other,it survived a devastating fire in 2001 and has been restored to its original beauty.
200505,real beauty,"hamilton spectator file photo / society should find beauty in a child's smile, not in random, incidental good looks."
200505,other,she gets hers from a beauty school.
200506,other,ontario power generation beat liquid the beauty bar 5-3.
200506,other,"learn from them, and it will increase your beauty."
200506,other,"learn from them, and it will increase your beauty."
200506,other,"learn from them, and it will increase your beauty."
200506,other,"learn from them, and it will increase your beauty."
200506,other,"learn from them, and it will increase your beauty."
200506,movie/play/tv,"jack plays the hubby, and who better for montgomery's role of samantha than the blond beauty he happens to bump into at the local store?"
200506,other,the annual book arts fair celebrates the beauty and craft of the hand-printed word and image.
200506,movie/play/tv,"sandra bullock reprises her role as gracie hart, undercover fbi agent and would-be beauty pageant contestant."
200506,other,"the beauty of current technology is that anyone can make high- quality recordings virtually anywhere, and most often an exotic locale produces startling results."
200506,other,"the beauty of current technology is that anyone can make high- quality recordings virtually anywhere, and most often an exotic locale produces startling results."
200506,product/service,"cool hair: a teenager's guide to the best beauty secrets on hair, makeup, and style by vincent roppatte: offers simple, great tips on how to achieve the look that's terrific for you."
200506,other,"though we had to selectively look at the forested hills hanging on either side of us to ignore the clearcuts slashed seemingly at random into the thick green carpet, the landscape was not without its rugged natural beauty."
200506,other,"truck parades, truck races and truck beauty contests?"
200506,product/service,"full text: paris-based chain sephora encouraged many of its suppliers to make small, purse- and travel-sized beauty products to serve the fast pace of women who work, travel and care for families."
200506,pageant/fashion show/model,"it is beauty pageant season and, before you get all flummoxed about me bashing beauty queens, know i am a reformed beauty pageant wannabe, i'm bitter, and i do understand how effective winners of these pageants can be in creating positive change."
200506,other,beauty can't hide emotional scars.
200506,movie/play/tv,"instead, why not focus on the positive aspects of beauty & the geek?."
200506,pageant/fashion show/model,"except beauty pageants are sexist, of course, and not news."
200507,product/service,"""when i wrote the beauty myth, plastic surgery was an extreme choice for the few."
200507,physical beauty,"""she is a classic beauty with an individual sense of style."
200507,product/service,"it's a spa-stic pleasure; a team of 21-year-olds is running two successful beauty spas, thriving in t.o."
200507,pageant/fashion show/model,"""b"" is also for beauty pageants and contests."
200507,pageant/fashion show/model,"beauty pageant finalists or contestants may only appear as such in the square if they are not identified as such, if you follow."
200507,other,"""beauty packaging speaks to a consumer's own thoughts about status."
200507,movie/play/tv,time to bid adieu to beauty and the geek (ctv at 8).
200507,physical beauty,"montrealers don't object to physical beauty, and don't have a dress code."
200507,pageant/fashion show/model,"while mr miller said it was ""appropriate"" to ban beauty contests from civic spaces, he admitted the rules have been misinterpreted before."
200507,other,"maybe it'll open some doors, and then people will see the beauty inside."""
200507,real beauty,"""advertising sets up a standard -- a tyrannical standard -- for beauty that's ultimately soul destroying,"" kilbourne said."
200507,real beauty,"""advertising sets up a standard -- a tyrannical standard -- for beauty that's ultimately soul destroying,"" kilbourne said."
200507,other,"though we had to selectively look at the forested hills hanging on either side of us to ignore the clear-cuts slashed seemingly at random into the thick green carpet, the landscape was not without its beauty."
200507,physical beauty,"willow-leaf eyebrows: beauty in ancient china: looking back on the great civilizations of the past, there are many interesting ways in which beauty was exposed."
200507,product/service,"however, since chinese medicine encompasses such extensive knowledge of herbal potions and remedies, we can assume that they used herbs for beauty as well as health."
200507,movie/play/tv,"photo supplied to the star / beauty and the geek is the show producers pitched as ""the ultimate social experiment,"" but remember, that the network promoted it as hailing ""from the daring mind of ashton kutcher!"" it's a little over my head, in other words."
200507,other,"kewpie dolls, wetums dolls and of course the jointed eaton's beauty dolls, tiddly winks, pick up sticks and jacks."
200507,movie/play/tv,shows: beauty and the beast; hello dolly; st jacob's farmers market; and wings of paradise butterfly conservatory.
200507,movie/play/tv,"for all the beauty on screen, the love affair doesn't seem passionate and the would-be suitor seems altogether bland making for a rather uneven but nonetheless enjoyable ride."
200507,other,"while my collection of external images fades with the passage of time, i can easily retrieve images of beauty from my memory bank when ugly situations arise."
200507,movie/play/tv,"for all the beauty on screen, the love affair doesn't seem passionate and the would-be suitor seems altogether bland making for a rather uneven but nonetheless enjoyable ride."
200507,other,maybe there's a part of me that just appreciates another woman's beauty.
200508,other,xiao cautioned it could be awhile before a connection is established between beauty and the beast and cancer in humans.
200508,product/service,"along with the beauty and lifestyle kelowna has to offer, so is the quality of award-winning hair stylists and colorists that have made kelowna the place to showcase their art."
200508,magazine/book,how is it that taylor can falsely believe that this is not an issue any more when the times colonist writes an article on her appointment as finance minister of british columbia with reference to her physical beauty in the headline?
200508,other,full text: so much for beauty sleep.
200508,real beauty,"""i think what's really important is that it become socially acceptable for the masses to look -- each in their way -- different from the current, narrowly defined beauty stereotype,"" she says."
200508,other,"chinese communist party officials have been ordered to ""declare"" their mistresses after a public row between a former shanghai beauty queen and her ex-lover highlighted a revival of the pre- revolutionary practice of keeping concubines."
200508,movie/play/tv,"but while that classic cary grant comedy featured crisp banter and a good story, beauty shop has way too much chat and very little plot."
200508,real beauty,"beauty quest is a thoughtful, thought-provoking film that goes more than skin deep."
200508,real beauty,"june callwood, now in her 80s, shares her own concept of beauty, in a culture that prizes youthfulness to almost dangerous extremes."
200508,real beauty,"beauty quest is a thoughtful, thought-provoking film that goes more than skin deep."
200508,real beauty,"it raises thought-provoking issues about body image and the concept of physical beauty: according to the film, only 1 in 50 women consider themselves to be beautiful."
200508,real beauty,"june callwood, now in her 80s, shares her own concept of beauty, in a culture that prizes youthfulness to almost dangerous extremes."
200508,real beauty,"beauty quest is a thoughtful, thought-provoking film that goes more than skin deep."
200508,other,"they take pleasure in being able to promote ukrainian culture and heritage through the grace, excitement and technical beauty of ukrainian dance."
200508,movie/play/tv,"the tale of the beauty and the beast, performed by the theatre by the bay troop at heritage park, is such a story."
200508,movie/play/tv,"it was coyne, schumacher says, who figured out that disney's three broadway musicals -- beauty and the beast, the lion king and aida -- could be packaged together and sold as a ""disney on broadway,"" experience."
200508,real beauty,"teen people recently featured a story about brittany harper, a plus-sized 20-year-old who has competed in and won several beauty pageants against average-sized girls in north carolina and currently holds the usa eastern miss title."
200508,real beauty,"teen people recently featured a story about brittany harper, a plus-sized 20-year-old who has competed in and won several beauty pageants against average-sized girls in north carolina and currently holds the usa eastern miss title."
200508,movie/play/tv,"seventeen's casting director chooses girls in malls, on the street, and anywhere she can find them for beauty and fitness sections."
200508,magazine/book,"teen people magazine published a story about harper, a plus- sized 20-year-old who has entered and won several beauty pageants against average-sized girls in north carolina.; colour associated press / teen vogue fashion editor jane keltner, left, and summer intern emily weiss pose together at the teen vogue office in new york."
200508,real beauty,"teen people recently featured a story about brittany harper, a plus-sized 20-year-old who has competed in and won several beauty pageants against average-sized girls in north carolina and currently holds the usa eastern miss title."
200508,movie/play/tv,"seventeen's casting director chooses girls in malls, on the street, and anywhere she can find them for beauty and fitness sections."
200508,movie/play/tv,"seventeen's casting director chooses girls in malls, on the street, and anywhere she can find them for beauty and fitness sections."
200508,physical beauty,just not in the beauty pageant queen kind of way.) so me and beautiful women never get to have that conversation about how their beauty affects my nerves.
200508,real beauty,that's why i don't see any problem with that ban on beauty pageants at nathan phillips square.
200508,real beauty,that's why i don't see any problem with that ban on beauty pageants at nathan phillips square.
200508,other,"that woman was ruth masters, not only a war veteran, and the person voted ""citizen of the year' on two occasions by valley residents, but someone who has fought doggedly to try and preserve the irreplaceable beauty of the valley."
200509,real beauty,dove set tongues a-wagging with its campaign for real beauty promotion that features six female models of somewhat fuller proportions promoting a new line of beauty products.
200509,magazine/book,"forster - the first sentence of on beauty is a deliberate echo of the first sentence of forster's howards end, a novel that featured an idealistic family, the schlegels, opposed to a conservative family, the wilcoxes."
200509,movie/play/tv,"kain signaled her insistence on maintaining the company's classical inheritance in february 2004 when, as nbc's artistic associate -- the position she held through most of the kudelka years -- she supervised a revival of former ballet superstar rudolf nureyev's historic production of the sleeping beauty."
200509,real beauty,"first came reality tv, and now companies are championing ""real women"" by featuring not-so-skinny models in their beauty and fashion ads."
200509,real beauty,"in canada, a dove-sponsored photo exhibit showcases female photographers' ideas of what beauty is -- again reflecting different ages, shapes and cultures."
200509,real beauty,"first came reality tv, and now companies are championing ""real women"" by featuring not-so-skinny models in their beauty and fashion ads."
200509,real beauty,"in canada, a dove-sponsored photo exhibit showcases female photographers' ideas of what beauty is -- again reflecting different ages, shapes and cultures."
200509,real beauty,"first came reality tv, and now companies are championing ""real women"" by featuring not-so-skinny models in their beauty and fashion ads."
200509,movie/play/tv,"kain signaled her insistence on maintaining the company's classical inheritance in february 2004 when, as nbc's artistic associate -- the position she held through most of the kudelka years -- she supervised a revival of former ballet superstar rudolf nureyev's historic production of the sleeping beauty."
200509,real beauty,"first came reality tv, and now companies are championing ""real women"" by featuring not-so-skinny models in their beauty and fashion ads."
200509,real beauty,"in canada, a dove-sponsored photo exhibit showcases female photographers' ideas of what beauty is -- again reflecting different ages, shapes and cultures."
200509,real beauty,"first came reality tv, and now companies are championing ""real women"" by featuring not-so-skinny models in their beauty and fashion ads."
200509,real beauty,"in canada, a dove-sponsored photo exhibit showcases female photographers' ideas of what beauty is -- again reflecting different ages, shapes and cultures."
200509,other,"star file photo tuvalu's lagoon, top photo, is a place of tranquil beauty."
200509,movie/play/tv,"so do the two women in their lives, a korean princess played by kim hee seon (who is very big in korean cinema) and a feisty indian beauty played by mallika sherawat (a star in bollywood films)."
200509,movie/play/tv,"kain signaled her insistence on maintaining the company's classical inheritance in february 2004 when, as nbc's artistic associate -- the position she held through most of the kudelka years -- she supervised a revival of former ballet superstar rudolf nureyev's historic production of the sleeping beauty."
200509,other,"full text: although she loved growing up in kelowna, a rebellious erica leach left after high school with the fear this valley's beauty might seduce her into spending a lifetime here."
200509,magazine/book,"""i think it's an absolute ripoff,"" says kathy phillips, former health and beauty director of vogue and founder of this works, a plant oils-based skincare range."
200509,real beauty,"in the culture of botox parties and graduation-present boob jobs, are we ready to celebrate beauty that's real and shop accordingly?."
200509,product/service,"top tip: ""raw carrots are the ultimate beauty food."
200509,other,"her mother taught her that beauty is godless and sinful, but van der kolk couldn't relate to that and chose a different path."
200510,magazine/book,the beauty of the writing and the illustrations contained in the bedside book of birds is matched by the beauty of the physical book itself.
200510,other,"the two had a tumultuous relationship in which the insecure jones was often brutal to her, but the guitarist was said to worship his prize beauty."
200510,other,"the beauty division, with $19.5 billion u.s."
200510,real beauty,seeing beauty through colour blind eyes.
200510,other,beauty of color (g.p.
200510,other,"reading on beauty is a tug of war between toiling to absorb the cluttered prose and delighting in the bustling, messy and tender dialogue."
200510,other,its cities offer breathtaking beauty exemplified by the jewelled city of taormina carved into a green bluff rising from the sapphire ionian sea.
200510,other,"photos special to the hamilton spectator / sicilian splendour few cites offer such breathtaking beauty as the jewelled city of taormina carved into a green bluff rising from the sapphire ionian sea.; sicily's classic, elegant and often formal architecture is rooted in ancient history.; photos special to the hamilton spectator / the architectural wonders of sicily will leave visitors with indelible memories.; art and history make a majestic combination in many impressive buildings and churches.; sicily is noted for ornate, decorative baroque architecture."
200510,real beauty,"full text: new york (ap) -- everyone has ""skin of colour,"" says iman, and that means her new beauty book is for every woman around the world."
200510,real beauty,iman says beauty best seen through colourblind eyes.
200510,real beauty,"full text: new york (ap) -- everyone has ""skin of colour,"" says iman, and that means her new beauty book is for every woman around the world."
200510,other,"expect to see a little humour, much beauty and attention to detail in this rich exhibit."
200510,product/service,"convinced that she wasn't the only one who would benefit from the organic beauty products, wasylow began pursuing her own business."
200510,other,"he considered getting out his bicycle and setting forth into the valley, bicycling until he fell, on and on into the beauty."
200510,product/service,the rosedale spa's beauty girl program caters to girls aged 12 to 15 (though the spa has served clients as young as 9).
200510,magazine/book,"on beauty is her most mature and wide-ranging novel to date, and it has been welcomed as a return to form after autograph man, a rangy, less coherent work about an autograph collector who forges his idol's signature."
200510,physical beauty,"""on top of that, i think she's gifted with real physical beauty but has this disarming quality,'' he continues as paxton blushes with embarrassment."
200510,physical beauty,"""on top of that, i think she's gifted with real physical beauty but has this disarming quality,'' he continues as paxton blushes with embarrassment."
200510,magazine/book,"on beauty is her most mature and wide-ranging novel to date, and it has been welcomed as a return to form after autograph man, a rangy, less coherent work about an autograph collector who forges his idol's signature."
200510,other,"he's a really despicable ugly thing, but he comes out and says that beauty can be found anywhere."""
200510,other,"real irish dancing has about it a spare, frantic beauty, a wild heart contained by discipline and straining to escape."
200510,other,"of the first-flowering daffodils, 'rynveld early sensation' and narcissus 'lemon beauty' are two excellent picks, both flowering weeks before any other daffodil."
200510,other,"all the various types of grape hyacinth (muscari) put on a totally reliable show in april along with many of the novelty narcissi such as 'tripartite' and 'lemon beauty,' a new butterfly- type with creamy petals and lemon-yellow star in the centre."
200510,magazine/book,"on beauty is her most mature and wide-ranging novel to date, and it has been welcomed as a return to form after autograph man, a rangy, less coherent work about an autograph collector who forges his idol's signature."
200510,other,suppose there was a beauty contest among eggheads; which side of the right-left spectrum would gather the most points?
200511,other,"what follows is a satirical romp through mortality, and the grief of phil's housemate-survivors, his artist wife nora, their ebullient housekeeper sophie, and nora's live-in model, beth, a herbal tea-meister trapped in an ex-beauty queen's body."
200511,pageant/fashion show/model,the contest is more than just a beauty pageant.
200511,pageant/fashion show/model,the contest is more than just a beauty pageant.
200511,real beauty,"collects pocketfuls of stones and pebbles,"" writes the author, who also talks about the woman's inner beauty, which shines through despite the disease."
200511,real beauty,"""it's the standard of beauty that you've been bombarded with for years."
200511,other,"""weightlifters and cyclists take doping to enhance performance, here the issue was beauty,"" munich president karl auer said."
200511,other,"still, auditioning for even an ""open-minded"" beauty company isn't without its perils."
200511,movie/play/tv,the beauty queen of leenane continues at kanata theatre until nov.
200511,other,"while she says the ""sweetheart"" tag doesn't bother her, it's clearly something she's not quite comfortable with -- after all, it doesn't exactly fit aniston, a mostly private person with a dry sense of humour who's more likely to puff on a smoke than enter a beauty pageant."
200511,product/service,illustration colour associated press / the price of beauty: a woman exits an avon store in new york yesterday.
200511,magazine/book,"but clarie cholley, health and beauty editor at elle quebec, suggested that banning perfume means forgoing one of life's great pleasures."
200511,magazine/book,"; colour allen mcinnis the gazette / perfume is one of life's great pleasures, says clarie cholley, health and beauty editor at elle quebec."
200511,other,"while she says the ""sweetheart"" tag doesn't bother her, it's clearly something she's not quite comfortable with -- after all, it doesn't exactly fit aniston, a mostly private person with a dry sense of humour who's more likely to puff on a smoke than enter a beauty pageant."
200511,other,"while she says the ""sweetheart"" tag doesn't bother her, it's clearly something she's not quite comfortable with -- after all, it doesn't exactly fit aniston, a mostly private person with a dry sense of humour who's more likely to puff on a smoke than enter a beauty pageant."
200511,other,"while she says the ""sweetheart"" tag doesn't bother her, it's clearly something she's not quite comfortable with -- after all, it doesn't exactly fit aniston, a mostly private person with a dry sense of humour who's more likely to puff on a smoke than enter a beauty pageant."
200511,other,"while she says the ""sweetheart"" tag doesn't bother her, it's clearly something she's not quite comfortable with -- after all, it doesn't exactly fit aniston, a mostly private person with a dry sense of humour who's more likely to puff on a smoke than enter a beauty pageant."
200511,other,"while she says the ""sweetheart"" tag doesn't bother her, it's clearly something she's not quite comfortable with -- after all, it doesn't exactly fit aniston, a mostly private person with a dry sense of humour who's more likely to puff on a smoke than enter a beauty pageant."
200511,other,"for binh, though, beauty is difficult to find anywhere."
200511,other,"we are going to get wind towers in ontario anyway, so we don't need them on the niagara escarpment, a place of unsurpassed natural beauty."""
200511,movie/play/tv,"they will be joined this week by jarhead, a highly anticipated film directed by sam mendes (american beauty) and starring jake gyllenhaal and jamie foxx."
200511,other,"kalyani (lisa ray) is a beauty: the bread-and- butter of the widows' house owing to rich men's ""unnatural concern for widows."""
200511,other,"by leaving behind most of what video games are - - seriously, there's nothing here to fight and kill; the vast tracts of scenery between colossi are devoid of anything but beauty -- shadow of the colossus shows us that games can be high art."
